"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV542",0.263185406639008,0.185465182904324,0.0158689846862815,0.168414891787602,0.740916850599152,0.975834849612296,0.998249364610564
"ASV543",0.245738427837139,0.201355980441589,0.0153321432430153,0.148092766890483,0.737859577566411,0.97852979709917,0.998646756942852
"ASV544",0.258197521607599,0.195995214262147,0.0161887512434506,0.159648647110984,0.737837255983907,0.976577574122551,0.998383642897398
"ASV545",0.278873315817742,0.18595916703037,0.0166781248982315,0.179928031826673,0.747159526536532,0.975490391636518,0.998137981136267
"ASV546",0.235604954619908,0.253596440619755,0.025990379687421,0.121810853723343,0.638481608573686,0.95742387025064,0.996519611655867
"ASV547",0.246366683186322,0.20550934332343,0.0159629188682678,0.146793848158005,0.732866182934727,0.977651603425374,0.99856847752896
"ASV548",0.230593641797015,0.198503892297799,0.0149817055998553,0.139014129607917,0.724452558534305,0.977175136281997,0.998567605611466
"ASV549",0.298610881468182,0.169278127264311,0.0173734012527524,0.204610474270806,0.747781101499544,0.971566723700105,0.997467181770939
"ASV550",0.289065382335063,0.175508890468174,0.016584835328847,0.193297793233777,0.751521473744287,0.974474224610889,0.997929051152522
"ASV551",0.290440192504092,0.181323561620164,0.0170742372400079,0.191269688148659,0.750966927745484,0.97465082022059,0.997964324644417
"ASV552",0.257783420987286,0.20083769187752,0.0159024205177271,0.156830250303677,0.743107393757496,0.978254631289692,0.998572719273601
"ASV553",0.369613882648754,0.174632518650073,0.0652986044286757,0.287600024812613,0.55009209414785,0.78737162273064,0.918134482820426
"ASV554",0.256132859122337,0.1968345541392,0.0160311879058367,0.15772327002113,0.737999044258833,0.976942919689552,0.998433457093079
"ASV555",0.261677701165581,0.191955524659811,0.016009029343642,0.164068080019874,0.741320788330116,0.976659662186172,0.998365961860512
"ASV556",0.291589957571246,0.178706323628856,0.0171299586955129,0.193650390663957,0.749894195522221,0.973980857656493,0.997864827108481
"ASV557",0.294681880815334,0.174036919899845,0.0169149514644278,0.198580620934765,0.752133935625887,0.973794754701761,0.997807364633079
"ASV558",0.261028964764634,0.198243176664923,0.0162457802751399,0.160523306682987,0.741138128985969,0.977204312884025,0.99844442987419
"ASV559",0.225623193351066,0.216279910466217,0.0147814461484787,0.12790316913963,0.729558804210012,0.980245031734356,0.998905551689313
