"","psi","p11","p10","PoO.0","PoO.1","PoO.2"
"ASV333",0.324618811351601,0.234885517255092,0.0415172121036384,0.234463330694656,0.684609783644836,0.938966369911165
"ASV336",0.317795254046091,0.239325567595227,0.0413714920216346,0.226791288078903,0.6813563621552,0.93971781813546
"ASV342",0.324618887876322,0.24020368607964,0.0417130387852201,0.232041569182461,0.686961337590769,0.94096201317607
"ASV343",0.30889364116622,0.246610926718821,0.041356437457767,0.216331898866366,0.676853604852769,0.940803445353424
"ASV345",0.313380784502247,0.244493814600172,0.0414683872627502,0.220906762992532,0.679588900397159,0.940707888821932
"ASV347",0.309090277592551,0.250089570454195,0.0413449834218878,0.214918139531501,0.679160126166649,0.942424588435466
"ASV348",0.315214943145943,0.248668296453237,0.0414701332406358,0.220465245336066,0.683897744428549,0.943022974413835
"ASV349",0.304178029207421,0.255068996312816,0.0409742832378923,0.208707610625017,0.678847948255192,0.944259720255851
"ASV350",0.313942394866927,0.247451098774355,0.0410099772486385,0.219843010256909,0.684219370706527,0.94337659313768
"ASV351",0.314954733373067,0.244575915150711,0.0411785413102314,0.222024521283523,0.682682467336668,0.941923390537017
"ASV352",0.314930957678208,0.248032283911806,0.0413346721625181,0.220481354860502,0.683919310041158,0.943028657979683
"ASV354",0.296643800001416,0.258487598434518,0.0411208088352591,0.201414386398725,0.672150775674978,0.943392209538304
"ASV356",0.316965538633211,0.242529611101722,0.0413847811607146,0.224651395959753,0.6824281225795,0.94095908316342
"ASV357",0.321617005466199,0.241929134018799,0.0414181863359501,0.228692875931411,0.686519212027349,0.941777598089815
"ASV358",0.317879504545558,0.242242168548629,0.0417563537316409,0.225654974457262,0.681313381811813,0.940062198983259
"ASV359",0.299548172206999,0.250065630151091,0.0415217655686986,0.207481665253031,0.668341653063061,0.93943497011925
"ASV360",0.301952228611466,0.251064246248655,0.0410017350006944,0.208747649026843,0.674111384491322,0.941923899106336
"ASV362",0.314391914952632,0.24370894705547,0.0415448863208556,0.222101996746824,0.679753229524399,0.940404758677281
"ASV364",0.316745379697751,0.245496457152305,0.0414632760507195,0.223139240464449,0.683598144905393,0.942033710576846
"ASV365",0.309917566695922,0.243547025555954,0.0411995002244232,0.21847252897063,0.676850762314811,0.940097374949475
"ASV367",0.304874897385535,0.251048730120561,0.0415043401410551,0.211222443120286,0.674578686161546,0.941337872913127
"ASV369",0.319374169566974,0.244880012281388,0.0414860127725661,0.225540723764466,0.685735105989722,0.942360221774037
"ASV372",0.313759017494416,0.248658699818564,0.0417764037523126,0.219420621687772,0.680903023432022,0.941854130705876
"ASV373",0.317259220466454,0.241812699518017,0.0415814021779698,0.22528927766979,0.681301665948291,0.940174011566807
"ASV374",0.315992299368067,0.242094938799897,0.0417224233224994,0.224190643547724,0.679496864478543,0.939592395345799
"ASV375",0.321454921429397,0.242439763617022,0.0414376486336798,0.228331468974261,0.686571320868393,0.9419164048188
"ASV376",0.315382980401729,0.245759728893511,0.041511962120577,0.2219456096976,0.682146690677151,0.941677426056956
"ASV377",0.314193564657902,0.246228631648926,0.0416160155078242,0.220818137617219,0.680708528635433,0.941307872600574
"ASV379",0.321208661113566,0.240204532726849,0.0413066379618703,0.229123533598139,0.685620354819497,0.941183312328241
"ASV381",0.321696414363849,0.237255866512328,0.0415584553922356,0.230984849361062,0.683015690549704,0.939237163834207
"ASV382",0.321666006310048,0.238276685130941,0.0411027246260934,0.230316107309231,0.685902391679267,0.940954710167143
"ASV383",0.314621953069044,0.241192819223517,0.0415768618929763,0.223448474771974,0.678287381534896,0.939203900058924
"ASV384",0.303669309093648,0.249321453294346,0.0414722703985469,0.211030115612295,0.672477453288778,0.940338369677321
"ASV385",0.317619986776988,0.244617525694117,0.041800447862266,0.224367282310994,0.682270522973328,0.940968951118731
"ASV387",0.31195402175729,0.248050113142329,0.0416269611573228,0.21820890468493,0.679465264916885,0.941517513255258
"ASV389",0.305399562704725,0.25067919442426,0.0409817063345804,0.211617712852368,0.67756184358604,0.942696390474292
"ASV391",0.306664335486568,0.249028322725974,0.0414377214691374,0.213510449350298,0.675583364373507,0.941087874273706
"ASV392",0.322365127151443,0.242875012362829,0.0415232863397963,0.228895628657802,0.687305431166255,0.942114580694607
"ASV394",0.306808032137359,0.245074308030005,0.0411097429956373,0.215277992718035,0.675040972049702,0.940225911058683
"ASV395",0.311280280417815,0.247598373344137,0.0411998691890177,0.21772638261093,0.680662889759252,0.942274907808788
